system:index,total_evaporation_sum
20030101,-0.003658237886544831
20030102,-0.004198848114905123
20030103,-0.0024291510899854944
20030104,-0.003572054802425918
20030105,-0.0036512967036260975
20030106,-0.002629602820555796
20030107,-0.001968177503597777
20030108,-0.003111585978815504
20030109,-0.004159733167906945
20030110,-0.003369203681764815
20030111,-0.004352668748491895
20030112,-0.004131504100328343
20030113,-0.0041542983033799165
20030114,-0.004231797188232385
20030115,-0.003947835388826539
20030116,-0.0034208539339209525
20030117,-0.0027182850372392915
20030118,-0.0035211176459169565
20030119,-0.003469108092572898
20030120,-0.002680825625342566
20030121,-0.0035611224214038254
20030122,-0.003293411231698568
20030123,-0.0027676369857388356
20030124,-0.0029885768805330477
20030125,-0.003337385391732358
20030126,-0.0032815660340534524
20030127,-0.0032599728863462888
20030128,-0.004268645093160171
20030129,-0.003968601470329549
20030130,-0.004079209919443625
20030131,-0.003980533962891087
20030201,-0.0039874096987954025
20030202,-0.003490057177850391
20030203,-0.0031234647369391137
20030204,-0.0025796636709696785
20030205,-0.001984817660661252
20030206,-0.0024473723446515796
20030207,-0.0033257928576087966
20030208,-0.004193378822429196
20030209,-0.003981545336283132
20030210,-0.002996719054685228
20030211,-0.005210940120541391
20030212,-0.004453320986970781
20030213,-0.003981855264597766
20030214,-0.004789640012219009
20030215,-0.0044070088148544075
20030216,-0.0044085392267372
20030217,-0.004692358071991421
20030218,-0.004582242002991384
20030219,-0.0021994738729867666
20030220,-0.003393998161667432
20030221,-0.00386989925480268
20030222,-0.0041074300456102495
20030223,-0.0038054633744665158
20030224,-0.003463074031858546
20030225,-0.004202039664266147
20030226,-0.0032335432158018228
20030227,-0.00416620429007223
20030228,-0.0039047390492632996
20030301,-0.00457803130525023
20030302,-0.004016940791304484
20030303,-0.004105601385535483
20030304,-0.003955122562857437
20030305,-0.0037565401577224597
20030306,-0.004267279422572774
20030307,-0.004131233346754577
20030308,-0.005162981188476181
20030309,-0.004508329988153016
20030310,-0.003959862646762122
20030311,-0.004176454483218374
20030312,-0.004502654264766537
20030313,-0.00368931393355343
20030314,-0.003934390623798838
