system:index,uncertainty
20030131_20030227,3.0471030389389564
20030228_20030330,2.708334634970697
20030331_20030429,2.4946753605871326
20030430_20030520,2.357075939319816
20030630_20030730,1.8605874328624679
20030731_20030830,1.9183838771673685
20030831_20030929,1.905513920744771
20030930_20031030,1.9109201753628975
20031031_20031129,1.904868971365349
20031130_20031230,1.8805281123287214
20031231_20040112,2.139123126153823
20040203_20040228,1.9271961002378422
20040229_20040330,1.877621589991928
20040331_20040429,1.9054383889151034
20040430_20040530,1.9566729134930314
20040531_20040629,1.980507082974701
20040630_20040730,1.879086325854657
20040731_20040830,2.0040805045908376
20040831_20040929,2.050562540649299
20040930_20041030,1.9062212847560762
20041031_20041129,1.9994215655438772
20041130_20041230,2.004401507402549
20041231_20050130,1.9022014458018777
20050131_20050227,1.9791761896421596
20050228_20050330,1.9833169735879241
20050331_20050429,1.975462592712874
20050430_20050530,2.0309881148448494
20050531_20050629,2.071857029923253
20050630_20050730,1.9994145040827078
20050731_20050830,1.9655192214613697
20050831_20050929,1.9705296490007296
20050930_20051030,1.9546024621794051
20051031_20051129,1.9684280517164716
20051130_20051230,2.2380046690119064
20051231_20060130,2.041527453805759
20060131_20060227,2.028158374001563
20060228_20060330,1.9324371909094296
20060331_20060429,1.9482377667623543
20060430_20060530,1.9544274830617936
20060531_20060629,2.066204401631028
20060630_20060730,1.9876382864632816
20060731_20060830,1.9160275385132437
20060831_20060929,2.00849359541967
20060930_20061030,1.988098904252681
20061031_20061129,1.9749956544983602
20061130_20061230,2.0454617873671355
20061231_20070130,2.0369913360885077
20070131_20070227,2.0149194291408508
20070228_20070330,1.9676109087386378
20070331_20070429,1.9942322265244041
20070430_20070530,1.9459852483864566
20070531_20070629,2.0066521900715726
20070630_20070730,1.953771191892936
20070731_20070830,2.10945064594858
20070831_20070929,2.026031628101906
20070930_20071030,2.0576446043962173
20071031_20071129,2.0834332517357335
20071130_20071230,1.983648835393805
20071231_20080130,1.9513615501934396
20080131_20080228,2.0291720054451945
20080229_20080330,1.9552243154331745
20080331_20080429,2.063655293514562
20080430_20080530,1.9806931896145699
20080531_20080629,1.9881358260105348
20080630_20080730,2.0111277769650573
20080731_20080830,1.9888173524618822
20080831_20080929,1.986234355481045
20080930_20081030,1.932569542824922
20081031_20081129,1.998010113579457
20081130_20081230,1.976310316506617
20081231_20090130,1.9757976834635003
20090131_20090227,2.01387775008114
20090228_20090330,2.0222996491365812
20090331_20090429,1.930661210629029
20090430_20090530,1.9832536585353846
20090531_20090629,2.0446694853101053
20090630_20090730,2.1361144630778264
20090731_20090830,2.063288802619094
20090831_20090929,2.0088569134219485
20090930_20091030,2.09457747571261
20091031_20091129,2.069156481804117
20091130_20091230,2.076050571591552
20091231_20100130,2.063860853904354
20100131_20100227,2.0709799329641867
20100228_20100330,2.1840946769075
20100331_20100429,2.0748251312549284
20100430_20100530,2.1241082203992203
20100531_20100629,2.2740424124492264
20100630_20100730,2.112471162654313
20100731_20100830,1.9093624735460293
20100831_20100929,1.9358980086908724
20100930_20101030,1.9821808633165388
20101031_20101129,2.0052160833326136
20101130_20101230,2.0648172688572517
20110207_20110227,2.1743304712905203
20110228_20110330,2.038166045461348
20110331_20110429,2.0313961112697503
20110430_20110530,2.0044194184289994
20110706_20110730,2.1162675773896877
20110731_20110830,2.046614479525662
20110831_20110929,2.009731305128108
20110930_20111030,1.9735354240633483
20111016_20111115,1.9920812510125743
20111218_20120114,2.0189561572291996
20111231_20120130,1.9819481502111098
20120131_20120228,2.064507217210842
20120229_20120330,2.011070481423833
20120331_20120418,2.207938904398486
20120531_20120629,2.061371903234967
20120630_20120730,1.9876173916710083
20120731_20120830,1.9366522761148814
20120831_20120923,2.031846722988756
20121108_20121129,2.1097282738603766
20121130_20121230,2.0445991826442773
