system:index,ET
2003_01_01,314.7123718215552
2003_01_09,352.96184884515054
2003_01_17,235.56023903087296
2003_01_25,287.7142592156784
2003_02_02,315.8326414429265
2003_02_10,359.913196444819
2003_02_18,358.52194304902486
2003_02_26,330.43724145262416
2003_03_06,390.0612471342066
2003_03_14,300.5467155642713
2003_03_22,307.2945589187099
2003_03_30,379.6765967801582
2003_04_07,344.50568059555474
2003_04_15,375.2633434267902
2003_04_23,306.0555489868748
2003_05_01,231.23719719689674
2003_05_09,327.30107362789266
2003_05_17,229.31831429704505
2003_05_25,386.96031703701345
2003_06_02,339.5969538472827
2003_06_10,256.76138601163956
2003_06_18,297.2033588689611
2003_06_26,315.66315053975376
2003_07_04,284.7586582287592
2003_07_12,240.20747507135258
2003_07_20,269.96241796499766
2003_07_28,307.61211607220486
2003_08_05,278.000062118873
2003_08_13,275.1589827705366
2003_08_21,262.0175479063554
2003_08_29,289.9684687953054
2003_09_06,267.5986080589243
2003_09_14,191.84599137852675
2003_09_22,277.66061989004817
2003_09_30,273.75293114898477
2003_10_08,303.9711234314136
2003_10_16,220.00915879713344
2003_10_24,244.23248118295618
2003_11_01,295.49558864379406
2003_11_09,303.08727339640865
2003_11_17,387.1646775026886
2003_11_25,334.21006574844364
2003_12_03,334.7660970244272
2003_12_11,180.27937375967787
2003_12_19,172.14054879550716
2003_12_27,120.48241486496612
2004_01_01,337.18665047505306
2004_01_09,363.96909487257767
2004_01_17,354.93103614508095
2004_01_25,270.58839371438023
2004_02_02,267.9607509793716
2004_02_10,267.67051112564974
2004_02_18,300.2249060939267
2004_02_26,359.01294082904093
2004_03_05,350.39593172916864
2004_03_13,304.02941337183285
2004_03_21,321.0581410412371
2004_03_29,418.88979570368645
2004_04_06,377.539617842652
2004_04_14,361.40275184636283
2004_04_22,340.2765177689101
2004_04_30,312.73204219261027
2004_05_08,293.40722780355895
2004_05_16,303.772102586518
2004_05_24,358.24882459153105
2004_06_01,279.38257465691083
2004_06_09,229.61139918908725
2004_06_17,263.78621790891754
2004_06_25,281.93595255360157
2004_07_03,359.7520863689148
2004_07_11,288.67920895100826
2004_07_19,249.20383586286033
2004_07_27,229.9770852708986
2004_08_04,270.1745810046776
2004_08_12,263.3125318463431
2004_08_20,325.0956442251476
2004_08_28,270.06955375027934
2004_09_05,280.66860207320553
2004_09_13,297.96314967231194
2004_09_21,329.0335619713411
2004_09_29,250.9914082369787
2004_10_07,316.5675773597857
2004_10_15,357.3156023591078
2004_10_23,373.1792028679021
2004_10_31,363.9199976765217
2004_11_08,366.9649155427968
2004_11_16,379.03780751250906
2004_11_24,297.2235992835851
2004_12_02,274.19377226797474
2004_12_10,308.6138331620974
2004_12_18,273.62566629863
2004_12_26,165.16075994305402
2005_01_01,282.1392996212013
2005_01_09,326.2108837311013
2005_01_17,286.7185948493993
2005_01_25,313.7021880150872
2005_02_02,362.8059572677876
2005_02_10,415.91271334683375
2005_02_18,383.79140090521753
2005_02_26,363.50772945001665
2005_03_06,355.8654860311899
2005_03_14,343.70392401497065
2005_03_22,337.0604801338378
2005_03_30,381.04429406073854
2005_04_07,359.81198663408753
2005_04_15,330.12897611048965
2005_04_23,349.2999105105756
2005_05_01,282.7516918838531
2005_05_09,193.55179063088696
2005_05_17,268.3224658658426
2005_05_25,311.3317724173532
2005_06_02,309.2122822989535
2005_06_10,324.5402644601655
2005_06_18,266.03624275186405
2005_06_26,253.73664277750325
2005_07_04,316.88721043071683
2005_07_12,306.5400977346919
2005_07_20,240.77177492330986
2005_07_28,238.33098900268328
2005_08_05,172.6820396730998
2005_08_13,298.10287495027467
2005_08_21,274.9104298800518
2005_08_29,234.85008418680295
2005_09_06,253.9286547728233
2005_09_14,303.8079252758789
2005_09_22,337.8285225341065
2005_09_30,275.3081568277544
2005_10_08,349.5418789658768
2005_10_16,330.9278939049606
2005_10_24,259.36516272268614
2005_11_01,318.596078383698
2005_11_09,268.9432607084378
2005_11_17,304.0951509150509
2005_11_25,318.64496156470017
2005_12_03,281.98452023548316
2005_12_11,270.69185963747134
2005_12_19,221.18706464163952
2005_12_27,138.60275137669535
2006_01_01,240.23065057136455
2006_01_09,266.060422874188
2006_01_17,265.862020947093
2006_01_25,332.11640257915184
2006_02_02,315.73129845888434
2006_02_10,290.0376436255121
2006_02_18,385.43143377611705
2006_02_26,387.1025734573709
2006_03_06,314.43033409931644
2006_03_14,378.39606188704124
2006_03_22,376.29716688981324
2006_03_30,357.92519402663555
2006_04_07,425.0441148313511
2006_04_15,384.70770389929714
2006_04_23,344.0427274841004
2006_05_01,389.63057798648305
2006_05_09,218.65974127367951
2006_05_17,322.36172042099906
2006_05_25,306.0580452534686
2006_06_02,341.2063414527788
2006_06_10,293.0777707491378
2006_06_18,309.3508919807816
2006_06_26,271.21645059703854
2006_07_04,289.4924174684456
2006_07_12,223.2076951957091
2006_07_20,215.21730613062778
2006_07_28,183.69637379204326
2006_08_05,178.90397350993376
2006_08_13,305.29317719281437
2006_08_21,281.89827766197794
2006_08_29,316.84510095997695
2006_09_06,326.85402507824
2006_09_14,261.906306336336
2006_09_22,211.94843549363367
2006_09_30,214.69776246234161
2006_10_08,225.9350306710446
2006_10_16,295.26795963960143
2006_10_24,313.7059735660814
2006_11_01,331.2489211819959
2006_11_09,337.12773717563357
2006_11_17,385.5404165212181
2006_11_25,345.096939576509
2006_12_03,309.2429029876832
2006_12_11,320.8311879079127
2006_12_19,375.1035052682959
2006_12_27,185.78148170673265
2007_01_01,158.3979418219551
2007_01_09,257.5439008150887
2007_01_17,385.1846260016926
2007_01_25,321.15752825839536
2007_02_02,346.8034890922041
2007_02_10,335.72680231576726
2007_02_18,364.080994943704
2007_02_26,402.98180468453097
2007_03_06,385.55524901320985
2007_03_14,313.764360178781
2007_03_22,376.1080784132501
2007_03_30,379.3137276589793
2007_04_07,344.08711618209344
2007_04_15,309.60692069971435
2007_04_23,326.86695268158985
2007_05_01,310.72914146741607
2007_05_09,349.3213717519298
2007_05_17,264.36192538174924
2007_05_25,287.88461871359965
2007_06_02,343.34553920389595
2007_06_10,324.5468242405944
2007_06_18,296.9276464826887
