system:index,Evap_tavg
A20030101_0000,2.371260854108986E-5
A20030101_0300,8.222334170955807E-5
A20030101_0600,7.305211458046917E-5
A20030101_0900,4.2011088771045414E-5
A20030101_1200,7.199976518025262E-6
A20030101_1500,1.9652701147597037E-6
A20030101_1800,1.1088481180472582E-6
A20030101_2100,-1.9733247111703686E-6
A20030102_0000,2.6502100538287105E-5
A20030102_0300,1.261885343814361E-4
A20030102_0600,1.3579518050834506E-4
A20030102_0900,4.482369574915029E-5
A20030102_1200,2.3713636661828558E-6
A20030102_1500,1.3231414582251627E-6
A20030102_1800,2.4018062137271947E-6
A20030102_2100,2.5471259407253925E-6
A20030103_0000,1.7391068221516852E-5
A20030103_0300,8.448699339421139E-5
A20030103_0600,7.336107568950354E-5
A20030103_0900,2.8472216293321223E-5
A20030103_1200,9.549471852383733E-8
A20030103_1500,-3.085895272577221E-6
A20030103_1800,-5.43800615084583E-7
A20030103_2100,-1.0636002803097917E-6
A20030104_0000,1.3749349764800368E-5
A20030104_0300,6.134025392964147E-5
A20030104_0600,6.995366999021867E-5
A20030104_0900,3.611422085926814E-5
A20030104_1200,5.358154896139276E-6
A20030104_1500,5.357959018250067E-6
A20030104_1800,3.5225411865235543E-6
A20030104_2100,5.261533059515436E-6
A20030105_0000,2.0277731536099308E-5
A20030105_0300,1.1384398582498436E-4
A20030105_0600,1.308669014031549E-4
A20030105_0900,4.87324007410004E-5
A20030105_1200,3.5106310190478005E-6
A20030105_1500,7.694483004800706E-7
A20030105_1800,-2.0539527237713835E-6
A20030105_2100,5.4232902484657305E-6
A20030106_0000,2.6777639938826568E-5
A20030106_0300,1.0576074687469358E-4
A20030106_0600,1.1069476494283774E-4
A20030106_0900,3.446066056736742E-5
A20030106_1200,7.014591033723908E-6
A20030106_1500,6.460923606908391E-6
A20030106_1800,5.203178586431196E-6
A20030106_2100,9.032287402735416E-6
A20030107_0000,3.004980167709608E-5
A20030107_0300,1.1160892736357954E-4
A20030107_0600,9.359323059447287E-5
